acc,pre,rec,f1
0.9390243902439024,0.9302325581395349,0.9523809523809523,0.9411764705882352
0.8780487804878049,0.6666666666666666,0.18181818181818182,0.28571428571428575
0.9390243902439024,0.9629629629629629,0.9454545454545454,0.9541284403669724
0.8902439024390244,0.5,0.3333333333333333,0.4
0.9390243902439024,0.6666666666666666,0.5714285714285714,0.6153846153846153
0.7804878048780488,0.7741935483870968,0.6857142857142857,0.7272727272727272
0.8902439024390244,0.9324324324324325,0.9452054794520548,0.9387755102040816
0.9146341463414634,0.95,0.76,0.8444444444444444
0.8658536585365854,0.8813559322033898,0.9285714285714286,0.9043478260869564
0.9024390243902439,0.6923076923076923,0.6923076923076923,0.6923076923076923
0.9512195121951219,0.9722222222222222,0.9722222222222222,0.9722222222222222
0.9024390243902439,0.95,0.8636363636363636,0.9047619047619048
0.9512195121951219,1.0,0.9230769230769231,0.9600000000000001
0.9512195121951219,0.9130434782608695,0.9130434782608695,0.9130434782608695
0.926829268292683,0.4,0.4,0.4000000000000001
0.8414634146341463,0.7777777777777778,0.3888888888888889,0.5185185185185185
0.9146341463414634,0.6666666666666666,0.25,0.36363636363636365
0.9024390243902439,0.6666666666666666,0.2222222222222222,0.3333333333333333
0.9512195121951219,0.9848484848484849,0.9558823529411765,0.9701492537313432
0.9512195121951219,0.9848484848484849,0.9558823529411765,0.9701492537313432
0.9024390243902439,0.9791666666666666,0.8703703703703703,0.9215686274509804
0.8902439024390244,1.0,0.8269230769230769,0.9052631578947368
0.8780487804878049,0.926829268292683,0.8444444444444444,0.8837209302325582
0.8902439024390244,0.9142857142857143,0.8421052631578947,0.8767123287671234
0.8902439024390244,0.8518518518518519,0.8214285714285714,0.8363636363636364
0.8902439024390244,0.8076923076923077,0.84,0.8235294117647058
0.8902439024390244,0.875,0.4666666666666667,0.608695652173913
0.9634146341463414,0.9629629629629629,0.9811320754716981,0.9719626168224299
0.975609756097561,1.0,0.9607843137254902,0.98
0.8536585365853658,0.625,0.35714285714285715,0.45454545454545453
0.9390243902439024,0.9696969696969697,0.9552238805970149,0.9624060150375939
0.926829268292683,0.9818181818181818,0.9152542372881356,0.9473684210526316
